,PPI
AKT1*AKT2,974
AKT1*AKT3,822
AKT1*PDPK1,995
AKT1*PRKCB,495
AKT1*PKN2,423
AKT1*EEF2K,408
AKT1*BCR,438
AKT1*BRD4,481
AKT1*PDK1,788
AKT1*PDK2,962
AKT1*PDK4,558
AKT1*ATM,745
AKT1*ATR,436
AKT1*MTOR,999
AKT1*CAMK2A,452
AKT1*CAMK2D,422
AKT1*CHEK1,547
AKT1*STK11,588
AKT1*MARK2,477
AKT1*MAPKAPK2,831
AKT1*PKD1,498
AKT1*PKD2,470
AKT1*TRIB1,401
AKT1*TRIB3,944
AKT1*KALRN,496
AKT1*CDK1,403
AKT1*CDK2,448
AKT1*CDK4,548
AKT1*CDK6,493
AKT1*GSK3A,992
AKT1*GSK3B,996
AKT1*MAPK3,906
AKT1*MAPK1,895
AKT1*MAPK8,642
AKT1*MAPK9,603
AKT1*MAPK10,455
AKT1*SRPK1,547
AKT1*SRPK2,509
AKT1*AURKA,939
AKT1*CSNK2A1,463
AKT1*CHUK,991
AKT1*IKBKB,983
AKT1*TBK1,625
AKT1*PINK1,738
AKT1*EIF2AK3,543
AKT1*PIK3R4,528
AKT1*WEE1,509
AKT1*MAP3K3,411
AKT1*MAP3K5,996
AKT1*MAP3K6,587
AKT1*GCK,549
AKT1*MST1,938
AKT1*STK4,523
AKT1*STK3,604
AKT1*PAK1,987
AKT1*PKN1,442
AKT1*MAP2K1,514
AKT1*MAP2K2,502
AKT1*MAP2K5,466
AKT1*MAP2K7,463
AKT1*MAP2K3,414
AKT1*MAP2K4,934
AKT1*MAP3K8,947
AKT1*MAP3K14,915
AKT1*CSK,684
AKT1*EGFR,794
AKT1*EPHA2,426
AKT1*PTK2,569
AKT1*FGFR1,564
AKT1*FGFR4,433
AKT1*IGF1R,578
AKT1*INSR,942
AKT1*JAK1,931
AKT1*JAK3,925
AKT1*MST1R,957
AKT1*CSF1R,596
AKT1*FLT3,707
AKT1*KIT,758
AKT1*PDGFRA,421
AKT1*PDGFRB,937
AKT1*PTK6,854
AKT1*FYN,819
AKT1*LCK,939
AKT1*LYN,794
AKT1*SRC,985
AKT1*YES1,741
AKT1*TEK,505
AKT1*NTRK1,429
AKT1*KDR,441
AKT1*IRAK1,495
AKT1*IRAK2,454
AKT1*LRRK2,509
AKT1*ILK,996
AKT1*MAP3K11,536
AKT1*BRAF,810
AKT1*RAF1,992
AKT1*ACTR2,490
AKT2*AKT3,813
AKT2*PDPK1,971
AKT2*PDK1,504
AKT2*PDK2,456
AKT2*ATM,485
AKT2*MTOR,979
AKT2*STK11,420
AKT2*TRIB3,915
AKT2*VRK2,502
AKT2*GSK3A,934
AKT2*GSK3B,979
AKT2*MAPK3,890
AKT2*MAPK1,887
AKT2*MAPK8,452
AKT2*MAPK9,408
AKT2*MAPK10,405
AKT2*CHUK,929
AKT2*IKBKB,841
AKT2*MAP3K5,961
AKT2*MAP3K6,547
AKT2*MAP2K1,484
AKT2*MAP2K2,433
AKT2*MAP2K4,856
AKT2*MAP3K8,920
AKT2*MAP3K14,691
AKT2*CSK,412
AKT2*EGFR,447
AKT2*INSR,937
AKT2*KIT,441
AKT2*FYN,758
AKT2*LCK,732
AKT2*LYN,729
AKT2*SRC,793
AKT2*YES1,696
AKT2*ILK,897
AKT2*RAF1,842
AKT3*PDPK1,959
AKT3*ATM,437
AKT3*MTOR,966
AKT3*TRIB3,827
AKT3*GSK3A,937
AKT3*GSK3B,966
AKT3*MAPK3,882
AKT3*MAPK1,881
AKT3*MAPK8,413
AKT3*MAPK10,429
AKT3*CHUK,912
AKT3*IKBKB,822
AKT3*MAP3K5,988
AKT3*MAP3K6,547
AKT3*MAP2K1,444
AKT3*MAP2K2,429
AKT3*MAP2K4,856
AKT3*MAP3K8,921
AKT3*MAP3K14,685
AKT3*KIT,424
AKT3*PDGFRB,405
AKT3*FYN,757
AKT3*LCK,716
AKT3*LYN,721
AKT3*SRC,773
AKT3*YES1,691
AKT3*ILK,892
AKT3*RAF1,841
ROCK2*ROCK1,969
ROCK2*PKN2,481
ROCK2*MAPK3,853
ROCK2*MAPK1,844
ROCK2*PLK1,915
ROCK2*MAP2K4,905
ROCK2*PTK2,920
ROCK2*JAK2,417
ROCK2*SRC,920
ROCK2*KDR,928
ROCK2*LIMK2,947
ROCK2*LIMK1,951
ROCK2*RAF1,458
ROCK1*MTOR,427
ROCK1*MAPK3,868
ROCK1*MAPK1,849
ROCK1*MAP2K4,909
ROCK1*EGFR,472
ROCK1*EPHB3,902
ROCK1*PTK2,938
ROCK1*JAK2,578
ROCK1*SRC,921
ROCK1*KDR,926
ROCK1*LIMK2,983
ROCK1*LIMK1,961
ROCK1*ILK,422
CIT*CDK1,443
CIT*BUB1B,430
CIT*BUB1,475
CIT*ACTR2,415
GRK2*GRK3,947
GRK2*GRK5,916
GRK2*GRK6,914
GRK2*PRKCA,926
GRK2*PRKCB,728
GRK2*PRKCG,919
GRK2*PRKCD,922
GRK2*CSNK1G2,647
GRK2*HASPIN,463
GRK2*TYRO3,430
GRK2*EGFR,717
GRK2*INSR,468
GRK2*SRC,683
GRK2*NTRK1,730
GRK3*GRK5,913
GRK3*GRK6,912
GRK3*CSNK1G2,619
GRK3*HASPIN,463
GRK4*CHUK,571
GRK4*IKBKB,571
GRK5*GRK6,911
GRK5*STK38,401
GRK5*CHUK,942
GRK5*IKBKB,591
GRK6*CHUK,571
GRK6*IKBKB,571
GRK1*GRK7,810
MAST3*MAST2,414
MAST3*MAST1,422
MAST3*MAST4,797
MAST3*ANTXR1,484
MAST2*MAST4,403
MAST2*SMG1,417
CLASP1*MARK1,472
CLASP1*GSK3B,442
CLASP1*BUB1B,503
CLASP1*BUB1,486
CLASP1*PLK1,557
CLASP1*ABL1,692
CLASP1*ABL2,691
CLASP1*INSR,471
MAST1*PLK1,504
MAST1*PLK3,508
MAST1*PLK4,494
MAST1*PLK2,507
MAST1*LRRK2,535
MASTL*RPS6KA1,440
MASTL*CHEK2,780
MASTL*CDK1,962
MASTL*BUB1B,700
MASTL*BUB1,715
MASTL*NEK2,415
MASTL*PLK1,924
MASTL*PLK4,438
MASTL*PLK2,763
MASTL*PBK,456
MASTL*TTK,649
STK38*STK38L,502
STK38*MTOR,431
STK38*CDK6,442
STK38*TP53RK,418
STK38*PLK4,478
STK38*MAP3K1,683
STK38*MAP3K2,661
STK38*STK4,441
STK38*PAK1,404
STK38*PAK2,400
STK38*STK24,605
STK38*STK25,564
STK38*STK26,579
STK38*MAP3K8,414
STK38*LCK,408
STK38*LRRK2,438
LATS1*LATS2,949
LATS1*STK11,423
LATS1*CDK1,773
LATS1*CDK2,404
LATS1*MST1,501
LATS1*STK4,988
LATS1*STK3,996
LATS1*MAP4K4,410
LATS1*EGFR,456
LATS1*SRC,464
LATS1*LIMK1,524
LATS2*CHEK1,538
LATS2*CDK2,471
LATS2*DYRK1A,431
LATS2*AURKA,659
LATS2*IKBKB,404
LATS2*MAP3K5,480
LATS2*STK4,994
LATS2*STK3,994
LATS2*MAP4K4,431
LATS2*ABL1,490
STK38L*CLK3,416
STK38L*PLK4,468
STK38L*MAP3K2,505
STK38L*STK4,426
STK38L*STK24,678
STK38L*STK25,528
STK38L*STK26,547
STK38L*MAP3K8,413
STK38L*LRRK2,438
PRKACA*PRKX,573
PRKACA*PDPK1,424
PRKACA*RPS6KA5,505
PRKACA*CAMK4,602
PRKACA*STK11,937
PRKACA*SIK2,808
PRKACA*MAPKAPK5,906
PRKACA*MYLK4,685
PRKACA*PHKG2,648
PRKACA*PIM1,498
PRKACA*CSNK1G2,643
PRKACA*CDK16,543
PRKACA*DYRK1B,527
PRKACA*DYRK1A,760
PRKACA*GSK3A,600
PRKACA*GSK3B,953
PRKACA*MAPK3,870
PRKACA*MAPK1,867
PRKACA*AURKA,932
PRKACA*ULK1,830
PRKACA*ULK2,823
PRKACA*MAP3K3,642
PRKACA*MAP3K5,828
PRKACA*MAP2K1,865
PRKACA*MAP2K2,859
PRKACA*MAP2K6,916
PRKACA*EGFR,506
PRKACA*PTK2,808
PRKACA*IGF1R,910
PRKACA*JAK2,909
PRKACA*RET,904
PRKACA*FYN,923
PRKACA*SRC,437
PRKACA*KDR,902
PRKACA*LRRK2,655
PRKACA*ARAF,822
PRKACA*BRAF,850
PRKACA*RAF1,850
PDPK1*PRKCA,909
PDPK1*PRKCB,929
PDPK1*PRKCD,966
PDPK1*PRKCE,964
PDPK1*PKN2,993
PDPK1*PKN3,876
PDPK1*RPS6KA1,949
PDPK1*RPS6KA3,976
PDPK1*RPS6KA2,937
PDPK1*RPS6KA6,930
PDPK1*SGK1,992
PDPK1*SGK2,943
PDPK1*SGK3,697
PDPK1*STK32C,488
PDPK1*STK32B,453
PDPK1*STK32A,487
PDPK1*PDK2,646
PDPK1*MTOR,842
PDPK1*TRIB3,683
PDPK1*GSK3A,766
PDPK1*GSK3B,771
PDPK1*MAPK1,926
PDPK1*MAPK8,406
PDPK1*CHUK,918
PDPK1*IKBKB,918
PDPK1*PKN1,932
PDPK1*MAP3K8,700
PDPK1*PTK2B,491
PDPK1*INSR,936
PDPK1*FYN,751
PDPK1*LCK,719
PDPK1*SRC,951
PDPK1*ILK,656
PDPK1*MAP3K7,743
PDPK1*RIPK2,922
PDPK1*TGFBR1,922
PDPK1*TGFBR2,915
PRKCA*PRKCB,830
PRKCA*PRKCG,895
PRKCA*PRKCD,815
PRKCA*PRKCE,745
PRKCA*RPS6KA2,479
PRKCA*EEF2K,868
PRKCA*PDK2,918
PRKCA*ATM,416
PRKCA*MTOR,968
PRKCA*PRKD1,848
PRKCA*PRKD2,821
PRKCA*GSK3A,526
PRKCA*GSK3B,404
PRKCA*MAPK3,952
PRKCA*MAPK1,940
PRKCA*MAPK7,535
PRKCA*CHUK,935
PRKCA*IKBKB,935
PRKCA*MYO3B,412
PRKCA*MYO3A,412
PRKCA*MAP2K7,849
PRKCA*MAP2K4,820
PRKCA*EGFR,981
PRKCA*PTK2,835
PRKCA*PTK2B,915
PRKCA*KIT,854
PRKCA*RET,909
PRKCA*LYN,828
PRKCA*SRC,948
PRKCA*ILK,834
PRKCA*ARAF,808
PRKCA*BRAF,927
PRKCA*RAF1,934
PRKCA*TGFBR1,463
PRKCB*PRKCG,812
PRKCB*PRKCD,858
PRKCB*PRKCE,532
PRKCB*EEF2K,838
PRKCB*PDK2,920
PRKCB*MTOR,872
PRKCB*PRKD1,832
PRKCB*PRKD2,818
PRKCB*GSK3A,524
PRKCB*GSK3B,665
PRKCB*MAPK3,933
PRKCB*MAPK1,932
PRKCB*MAPK8,919
PRKCB*CHUK,970
PRKCB*IKBKB,973
PRKCB*MYO3B,412
PRKCB*MYO3A,412
PRKCB*EGFR,935
PRKCB*PTK2,814
PRKCB*PTK2B,916
PRKCB*INSR,826
PRKCB*JAK1,909
PRKCB*JAK3,909
PRKCB*LCK,919
PRKCB*LYN,918
PRKCB*SRC,920
PRKCB*BTK,719
PRKCB*ARAF,807
PRKCB*BRAF,909
PRKCB*RAF1,911
PRKCB*RIPK4,631
PRKCB*BMPR2,704
PRKCG*PRKCD,539
PRKCG*PRKCE,546
PRKCG*EEF2K,839
PRKCG*MTOR,835
PRKCG*PRKD1,825
PRKCG*PRKD2,819
PRKCG*TTBK2,619
PRKCG*TTBK1,446
PRKCG*GSK3A,511
PRKCG*MAPK3,853
PRKCG*MAPK1,852
PRKCG*MYO3B,412
PRKCG*MYO3A,412
PRKCG*PTK2,805
PRKCG*PTK2B,907
PRKCG*LYN,807
PRKCG*SRC,919
PRKCG*ARAF,805
PRKCG*BRAF,823
PRKCG*RAF1,809
PRKCD*PRKCE,808
PRKCD*MTOR,866
PRKCD*CAMK2A,514
PRKCD*CAMK2B,535
PRKCD*CAMK2G,547
PRKCD*CAMK2D,545
PRKCD*GSK3A,560
PRKCD*MAPK3,953
PRKCD*MAPK1,948
PRKCD*MAPK8,860
PRKCD*MAPK9,845
PRKCD*MAPK10,835
PRKCD*CHUK,427
PRKCD*IKBKB,434
PRKCD*RNASEL,425
PRKCD*MAP2K1,935
PRKCD*MAP2K2,853
PRKCD*MAP2K4,919
PRKCD*ABL1,618
PRKCD*PTK2B,954
PRKCD*IGF1R,939
PRKCD*INSR,545
PRKCD*JAK1,920
PRKCD*JAK2,921
PRKCD*BLK,918
PRKCD*FGR,921
PRKCD*FYN,986
PRKCD*HCK,924
PRKCD*LCK,940
PRKCD*LYN,954
PRKCD*SRC,971
PRKCD*YES1,916
PRKCD*SYK,417
PRKCD*IRAK1,458
PRKCD*ARAF,653
PRKCD*BRAF,650
PRKCD*RAF1,935
PRKCD*RIPK4,736
PRKCE*MTOR,457
PRKCE*MYLK4,804
PRKCE*PRKD1,579
PRKCE*CDK1,907
PRKCE*MAPK3,946
PRKCE*MAPK1,948
PRKCE*MAPK8,844
PRKCE*MAPK9,839
PRKCE*MAPK10,840
PRKCE*CHUK,913
PRKCE*IKBKB,940
PRKCE*PKN1,902
PRKCE*PAK2,912
PRKCE*PAK4,911
PRKCE*EGFR,715
PRKCE*PTK2B,920
PRKCE*INSR,829
PRKCE*JAK1,910
PRKCE*JAK3,911
PRKCE*TYK2,402
PRKCE*LCK,918
PRKCE*SRC,953
PRKCE*ARAF,650
PRKCE*BRAF,824
PRKCE*RAF1,867
PKN2*PKN3,904
PKN2*RPS6KA1,414
PKN2*PDK1,526
PKN2*MTOR,456
PKN2*MAP3K2,475
PKN2*PKN1,903
PKN2*LRRK2,407
PKN3*MTOR,427
PKN3*STKLD1,560
PKN3*PKN1,909
PKN3*SRC,413
RPS6KA5*RPS6KA4,902
RPS6KA5*RPS6KA1,907
RPS6KA5*RPS6KA3,907
RPS6KA5*RPS6KA2,906
RPS6KA5*RPS6KA6,907
RPS6KA5*GSK3A,434
RPS6KA5*GSK3B,420
RPS6KA5*MAPK3,931
RPS6KA5*MAPK1,939
RPS6KA5*NRBP1,416
RPS6KA4*RPS6KA1,911
RPS6KA4*RPS6KA3,906
RPS6KA4*RPS6KA2,906
RPS6KA4*RPS6KA6,906
RPS6KA4*GSK3A,461
RPS6KA4*MAPK3,944
RPS6KA4*MAPK1,972
RPS6KA4*MAP2K1,409
RPS6KA1*RPS6KA3,961
RPS6KA1*RPS6KA2,965
RPS6KA1*RPS6KA6,901
RPS6KA1*EEF2K,677
RPS6KA1*MTOR,776
RPS6KA1*GSK3A,467
RPS6KA1*GSK3B,609
RPS6KA1*MAPK3,982
RPS6KA1*MAPK1,998
RPS6KA1*MAPK7,940
RPS6KA1*BUB1,864
RPS6KA1*CHUK,921
RPS6KA1*IKBKB,928
RPS6KA1*MYT1,904
RPS6KA1*PKMYT1,827
RPS6KA1*MAP2K1,430
RPS6KA1*FGFR1,706
RPS6KA3*RPS6KA2,925
RPS6KA3*RPS6KA6,912
RPS6KA3*TRPM6,402
RPS6KA3*MTOR,588
RPS6KA3*GSK3A,431
RPS6KA3*GSK3B,479
RPS6KA3*MAPK3,989
RPS6KA3*MAPK1,991
RPS6KA3*MAPK7,933
RPS6KA3*BUB1,849
RPS6KA3*PKMYT1,813
RPS6KA3*MAP2K1,415
RPS6KA3*FGFR1,479
RPS6KA3*FYN,521
RPS6KA3*SRC,468
RPS6KA2*RPS6KA6,907
RPS6KA2*MTOR,666
RPS6KA2*GSK3A,427
RPS6KA2*GSK3B,471
RPS6KA2*MAPK3,987
RPS6KA2*MAPK1,992
RPS6KA2*MAPK7,933
RPS6KA2*BUB1,827
RPS6KA2*PKMYT1,817
RPS6KA2*MAP2K1,581
RPS6KA2*BRAF,410
RPS6KA6*MAPK3,939
RPS6KA6*MAPK1,935
RPS6KA6*MAPK7,843
RPS6KA6*BUB1,816
RPS6KA6*PKMYT1,810
RSKR*SGK3,418
RSKR*MTOR,429
RSKR*SMG1,403
RSKR*PASK,418
RSKR*GAK,410
RSKR*MAP3K1,733
RSKR*MAP3K2,737
RSKR*MAP3K3,746
RSKR*STK24,439
RSKR*STK25,417
RSKR*STK26,420
RSKR*MAP3K8,473
RSKR*MAP3K14,739
RSKR*LRRK2,666
SGK1*SGK2,808
SGK1*PDK1,424
SGK1*PDK2,498
SGK1*PDK4,409
SGK1*MTOR,995
SGK1*SMG1,447
SGK1*GSK3B,446
SGK1*MAPK7,520
SGK1*CAMKK2,414
SGK1*WNK2,420
SGK1*WNK1,656
SGK1*WNK4,497
SGK1*INSR,921
SGK1*SRC,928
SGK1*RAF1,820
SGK2*MTOR,749
SGK2*RAF1,633
SGK3*MTOR,819
SGK3*TRIB3,546
SGK3*MOS,500
STK32C*TTBK1,484
STK32C*LMTK2,402
STK32A*CDK18,405
COQ8B*ADCK1,445
COQ8B*ADCK5,470
COQ8B*ADCK2,615
COQ8A*ADCK1,450
COQ8A*ADCK5,447
COQ8A*ADCK2,658
COQ8A*TRIM33,421
COQ8A*IRAK1,421
COQ8A*IRAK2,421
COQ8A*LRRK2,529
ADCK1*ADCK2,508
ADCK1*RIOK2,409
ADCK1*CDKL3,511
ADCK1*TP53RK,401
ADCK1*AAK1,540
ADCK1*SCYL2,416
ADCK5*ADCK2,507
ADCK5*RIOK2,409
ADCK2*AAK1,529
TRPM7*TRPM6,858
TRPM7*PKD1,550
TRPM7*PKD2,664
TRPM7*MLKL,906
TRPM6*PKD1,543
TRPM6*PKD2,629
TRPM6*ALPK3,404
TRPM6*WNK4,408
EEF2K*MTOR,532
EEF2K*CDK1,458
EEF2K*ERN2,421
EEF2K*NRBP1,432
BCR*MTOR,924
BCR*TRIM24,523
BCR*CSNK2A2,514
BCR*ABL1,997
BCR*ABL2,456
BCR*ALK,417
BCR*CSK,911
BCR*EGFR,419
BCR*FES,759
BCR*FGFR1,637
BCR*JAK2,955
BCR*FLT3,469
BCR*KIT,852
BCR*PDGFRB,404
BCR*HCK,768
BCR*LYN,941
BCR*SRC,613
BCR*SYK,916
BCR*BTK,920
BRD2*BRD3,830
BRD2*BRD4,528
BRD2*TAF1,540
BRD2*TAF1L,525
BRD2*DAPK1,428
BRD2*CDK2,416
BRD2*CDK8,640
BRD2*CDK9,831
BRD2*CSNK2A1,696
BRD2*CSNK2A2,614
BRD3*BRD4,831
BRD3*TAF1,516
BRD3*TAF1L,475
BRD3*CDK9,603
BRD3*SRPK2,547
BRD4*MTOR,407
BRD4*TRRAP,516
BRD4*TAF1,482
BRD4*TAF1L,537
BRD4*CHEK1,423
BRD4*VRK1,448
BRD4*CDK2,405
BRD4*CDK4,405
BRD4*CDK6,484
BRD4*CDK7,623
BRD4*CDK8,681
BRD4*CDK9,998
BRD4*CDK13,419
BRD4*CDK12,481
BRD4*MAPK7,428
BRD4*SRPK2,435
BRD4*PLK1,607
BRD4*MAP2K1,474
BRD4*EGFR,412
BRD4*FGFR3,453
BRD4*JAK2,493
BRD4*FLT3,402
BRDT*TAF1,481
BRDT*TAF1L,493
BRDT*CDK9,858
BRDT*NEK7,422
BCKDK*PHKG1,405
BCKDK*MAP3K4,517
BCKDK*MAP4K1,592
BCKDK*LRRK2,602
PDK1*PDK2,922
PDK1*PDK3,877
PDK1*PDK4,610
PDK1*MTOR,788
PDK1*GSK3B,404
PDK1*MAP3K4,483
PDK1*ZAP70,541
PDK2*PDK3,688
PDK2*PDK4,683
PDK2*MTOR,524
PDK2*PRKD1,535
PDK2*MAP3K4,483
PDK2*IRAK1,526
PDK3*PDK4,606
PDK3*MAP3K4,483
PDK3*EPHB6,609
PDK4*MTOR,439
PDK4*MAP3K4,483
PDK4*GCK,401
PDK4*INSR,437
PDK4*LRRK2,422
ATM*ATR,998
ATM*MTOR,588
ATM*SMG1,610
ATM*TRRAP,630
ATM*TAF1,422
ATM*TRIM28,982
ATM*CHEK1,998
ATM*STK11,950
ATM*DAPK1,473
ATM*CHEK2,999
ATM*CDK1,822
ATM*CDK2,956
ATM*CDK3,436
ATM*CDK4,942
ATM*CDK6,637
ATM*CDK5,724
ATM*CDK7,415
ATM*CDK9,468
ATM*CDK12,596
ATM*DYRK2,945
ATM*HIPK2,551
ATM*MAPK3,510
ATM*MAPK1,429
ATM*MAPK7,658
ATM*MAPK8,776
ATM*AURKA,585
ATM*BUB1B,578
ATM*BUB1,590
ATM*CDC7,621
ATM*CSNK2A1,412
ATM*CHUK,465
ATM*IKBKB,617
ATM*EIF2AK3,689
ATM*PLK1,777
ATM*PLK3,960
ATM*PLK4,472
ATM*PLK2,500
ATM*TLK1,420
ATM*PKMYT1,497
ATM*WEE1,807
ATM*WEE2,445
ATM*MAP3K1,480
ATM*MAP2K1,461
ATM*MAP2K7,493
ATM*ABL1,999
ATM*ALK,531
ATM*EGFR,804
ATM*FGFR1,475
ATM*FGFR2,530
ATM*FGFR3,528
ATM*IGF1R,467
ATM*JAK2,521
ATM*JAK3,473
ATM*FLT3,475
ATM*KIT,523
ATM*PDGFRA,476
ATM*RET,532
ATM*SRC,523
ATM*ZAP70,460
ATM*BTK,407
ATM*KDR,435
ATM*MAP3K7,485
ATM*RIPK1,576
ATM*TGFBR2,421
ATR*MTOR,459
ATR*SMG1,434
ATR*TRRAP,411
ATR*CHEK1,999
ATR*CHEK2,999
ATR*CDK1,715
ATR*CDK2,966
ATR*CDK3,424
ATR*CDK4,506
ATR*CDK6,440
ATR*CDK16,406
ATR*BUB1B,425
ATR*BUB1,534
ATR*CDC7,980
ATR*PLK1,566
ATR*PLK3,930
ATR*PIK3R4,478
